分隊名,站名,地址
三張犁分隊,三張犁分隊,信義路五段91巷臨31號
上塔悠分隊,上塔悠分隊,民權東路五段臨九四號後
中山分隊,中山分隊,新生北路2段臨30-1號
中崙分隊,中崙分隊,南京東路四段四號
五分埔分隊,五分埔分隊,永吉路120巷101號
仁愛分隊,仁愛分隊,紹興南街36巷口人行道邊
光明分隊,光明分隊,北投路1段臨30號
內湖分隊,內湖分隊,成功路5段5號消防隊對面
內湖區隊,內湖區隊,舊宗路2段臨158號停車場
公館分隊,公館分隊,
六張犁分隊,六張犁分隊,嘉興街236號
南京分隊,南京分隊,長春路350號
南昌分隊,南昌分隊,
南港分隊,南港分隊,興東街7巷臨14號
博嘉分隊,博嘉分隊,萬美街一段55巷口對面
博愛分隊,博愛分隊,愛國西路臨5之1號
台大分隊,台大班,辛亥路1段臨138號
吳興分隊,吳興分隊,松平路信義國中後門旁
和平分隊,和平分隊,辛亥路1段臨143號
圓山分隊,圓山分隊,
大理分隊,大理分隊,長順街臨131號
大直分隊,大直停車場,濱江街305巷中山高架橋下
大龍分隊,大龍分隊,承德路3段（承德橋下）
天母分隊,天母分隊,中山北路6段763巷臨2號
安和分隊,安和分隊,
延平分隊,延平分隊,環河北路1段63號之1
建成分隊,建成分隊,民權西路臨194之1號加油站旁
後港分隊,後港分隊,承德路4段臨5之2號
復興分隊,復興分隊,興隆路4段109巷臨77之1號
忠孝分隊,忠孝分隊,北平東路19-1號
敦化分隊,敦化分隊,建國南路忠孝東路口往北第一個橋孔下
文德分隊,文德分隊,民權東路6段臨10之2號
文林分隊,文林分隊,文昌路臨159之1號
新生分隊,新生分隊,建國南路1段臨173號
昆明分隊,昆明分隊,和平西路3段251號
景美分隊,景美分隊,溪洲街臨220號
木柵分隊,木柵分隊,
東園分隊,東園分隊,寶興街222巷11號之1
東湖分隊,東湖分隊,
東社分隊,東社分隊,健康路15巷46號對面
松山分隊,松山分隊,南京東路五段撫遠街正氣橋橋孔
武昌分隊,武昌分隊,成都路173號對面（橋墩下）
民一分隊,民一分隊,松江路臨487號
民二分隊,民二分隊,
泉州分隊,泉州分隊,惠安街47號
漢中分隊,漢中分隊,環河南路1段臨280之1號
玉成分隊,玉成分隊,東新街臨3之1號
瑞安分隊,瑞安分隊,建國南路2段臨262號
石牌分隊,石牌分隊,北投路1段臨20號
社子分隊,社子分隊,中正路626號對面
福德分隊,福德分隊,福德街51巷2弄9號
福德坑停車場,福德坑停車場,
臥龍分隊,臥龍分隊,基隆路3段臨24號
興隆分隊,興隆分隊,景豐街臨82號
舊莊分隊,舊莊分隊,舊莊街一段三號
草山分隊,草山分隊,
蘭州分隊,蘭州分隊,敦煌路151號之1
蘭雅分隊,蘭雅分隊,文昌路211之3號
西湖分隊,西湖分隊,內湖路1段臨552之1號
長安分隊,長安分隊,建國北路1段臨5-1號
關渡分隊,關渡分隊,大度路3段臨250號
陽明分隊,陽明分隊,新民路73之6號（二班）；紗帽路141巷臨23號（一班）
青年分隊,青年分隊,中華路二段416巷臨90號
東新橋下停車場,東新橋下停車場,東新街東新橋下
師大路停車場,師大路停車場,師大路臨241號
