icnrtname,applydate,genwaste,bizgenwaste,icnrtproqt,btmdustqt,flyashsoldqt,eqeffgasacqt,acteleqt,actseqt,actsep,seincome,oprthour,nooprthour,dsnprcqt,dustlandfillqt,brheat,applyno
嘉義縣鹿草垃圾焚化廠,202602,15757.91,5191.04,23808.98,3359.86,794.71,134.4,16433.7,13882.8,84.47,32322.09,1344,0,900,794.71,2.100,WEPQ7513
臺中市烏日資源回收廠,202601,15225.5,9371.97,25787.25,3395.38,987.88,12624.98,17127.87,13978.73,81.61,36085.29,1488,0,900,0,2.200,WEPL0028
嘉義縣鹿草垃圾焚化廠,202601,21063.47,7638.56,27297.37,4323.65,969.37,148.8,18132.2,15373.8,84.78,37367.07,1488,0,900,969.37,0.900,WEPQ7513
新北市八里垃圾焚化廠,202601,26962.75,11033.78,39033.61,4631.83,1513.16,8023,23753.54,20633.41,86.86,50901.32,2232,0,1350,1513.16,1.500,WEPF2314
臺中市后里資源回收廠,202601,11177.25,11710.62,24108.12,3005.63,996.25,11098.82,15614.4,13176.5,84.38,34955.22,1488,0,900,996.25,1.900,WEPL9232
臺南市永康垃圾資源回收(焚化)廠,202601,19679.29,3054.79,25071.67,3100.05,1198.05,10044,16204.84,13672.79,84.37,35728.72,1488,0,900,1198.05,1.400,WEPR8506
彰化縣溪州垃圾焚化廠,202602,21975.28,2142.57,21681.14,2571.67,757.26,11704.32,13830.3,11764.3,85.06,27258.89,1287,57,900,652.16,1.800,WEPN3259
臺北市政府環境保護局北投垃圾焚化廠,202601,10612.16,16574.08,41818.67,4380.47,364.1,10859,14527.77,8947.2,61.58,23020.64,2873,103,1800,0,0.500,WEPA4427
高雄市政府環境保護局中區資源回收廠,202601,19387.35,86.48,18968.08,1890.64,844.58,14961,4919.97,3369.24,68.48,7931.285,1952,280,900,844.58,2.800,WEPE5004
新北市八里垃圾焚化廠,202602,24227.84,10691.12,34008.37,4139.65,1138.67,7253,21302.13,18499.6,86.84,42849.97,2016,0,1350,1138.67,0.700,WEPF2314
嘉義市垃圾焚化廠,202602,6185.4,0,5473.99,750.37,0,1725.64,1581.31,1090.15,68.93,2875.795,1342,2,300,0,-1.000,WEPI2617
宜蘭縣利澤垃圾資源回收(焚化)廠,202602,10040.98,5217.62,16931.53,2328.54,141.09,8064,9703.92,8143.1,83.91,18736.11,1344,0,600,141.09,-1.000,WEPG3008
高雄市岡山垃圾資源回收(焚化)廠,202602,10316.82,14688.41,26915.2,4599.16,1605.26,15554.7,14729.5,11581.6,78.62,27668,1930,86,1350,1605.26,3.500,WEPS1656
臺北市政府環境保護局北投垃圾焚化廠,202602,15529.51,19962.14,34695.12,4036.54,964.73,13847,17415.2,12950.4,74.36,29065.54,2593,95,1800,0,0.500,WEPA4427
高雄市政府環境保護局南區資源回收廠,202602,13519.68,5832.14,21455.83,974,1104.2,8726,8100.53,4838.4,59.72,11124.34,1939,749,1800,1104.2,2.600,WEPE5641
新竹市垃圾資源回收廠,202602,9860.49,3286.68,14981.78,2030.54,559.33,4768,7066.487,5612.021,79.41,10465.29,1093,251,900,1604.8,1.300,WEPO1732
嘉義市垃圾焚化廠,202601,5931.09,0,6393.8,841.66,0,1996.16,1766.5,1227.58,69.49,3474.279,1488,0,300,0,-1.000,WEPI2617
屏東縣崁頂垃圾資源回收(焚化)廠,202601,17372.15,4958.39,20773.26,3242.37,1220.56,6729.04,12717.12,10320.72,81.15,26195.77,1344,144,900,1220.56,0.700,WEPT5929
臺北市政府環境保護局木柵垃圾焚化廠,202601,9464.6,15527.46,27080.01,3640.72,414.72,0,9194.37,6666.1,72.5,16274.03,2921,55,1500,0,1.900,WEPA4059
桃園市垃圾焚化廠,202601,17301.28,2777.43,20663.44,2888.38,253.01,1650,13277.25,11471.01,86.39,30542.43,803,685,1350,0,2.200,WEPH4335
彰化縣溪州垃圾焚化廠,202601,23440.78,2988.69,23965.91,3378.31,808.42,12132.42,14060.3,11907.2,84.68,29681.14,1334,154,900,709.31,0.700,WEPN3259
苗栗縣垃圾焚化廠,202601,10887.29,527.5,12270.58,1668.9,707.57,6530.74,7363.26,5884.01,79.91,14983.6,1370,118,500,707.57,-1.000,WEPK0322
新竹市垃圾資源回收廠,202601,7440.85,2698.71,8890.02,826.76,66.91,2840,0,0,0,0,576,912,900,450.19,1.900,WEPO1732
